Date,Fund_A,Fund_B,Fund_C,Fund_D
2016-04-02,95.29,105.76,98.73,100.62
2016-04-03,95.04,106.73,98.05,100.62
2016-04-04,94.73,106.74,98.01,100.62
2016-04-05,93.5,108.45,100.08,100.62
2016-04-06,93.78,107.37,100.25,100.65
2016-04-07,94.04,107.85,102.19,100.66
2016-04-08,94.07,108.64,102.5,100.71
2016-04-09,93.9,109.26,102.11,100.71
2016-04-10,92.72,109.16,103.95,100.71
2016-04-11,92.39,109.0,104.52,100.71
2016-04-12,92.13,109.32,103.82,100.71
2016-04-13,91.49,109.89,104.43,100.71
2016-04-14,91.38,110.32,104.14,100.71
2016-04-15,91.75,111.05,101.89,100.71
2016-04-16,93.38,110.4,103.02,100.71
2016-04-17,93.56,110.29,104.36,100.71
2016-04-18,93.81,109.7,106.6,100.71
2016-04-19,93.78,109.47,107.16,100.71
2016-04-20,92.17,110.18,106.92,100.71
2016-04-21,92.18,110.28,107.99,100.73
2016-04-22,92.26,112.06,109.08,100.73
2016-04-23,94.4,112.22,111.17,100.73
2016-04-24,94.26,112.3,111.18,100.73
2016-04-25,94.55,112.4,111.03,100.73
2016-04-26,94.55,112.0,110.2,100.74
2016-04-27,93.58,112.0,110.92,100.8
2016-04-28,94.59,112.8,109.07,100.8
2016-04-29,95.28,112.91,110.08,100.8
2016-04-30,96.0,112.4,110.87,100.82
2016-05-01,95.23,111.81,111.67,100.82
2016-05-02,96.5,111.54,111.9,100.82
2016-05-03,95.3,111.62,113.91,100.83
2016-05-04,95.84,112.46,115.09,100.83
2016-05-05,97.81,111.59,114.37,100.83
2016-05-06,96.96,111.41,113.68,100.83
2016-05-07,96.49,111.54,112.62,100.85
2016-05-08,96.61,110.35,113.38,100.87
2016-05-09,96.2,109.83,112.17,100.87
2016-05-10,94.87,109.41,113.61,100.9
2016-05-11,94.96,108.92,115.37,100.9
2016-05-12,94.07,109.08,114.3,100.9
2016-05-13,94.51,109.01,114.12,100.9
2016-05-14,93.75,108.68,114.2,100.92
2016-05-15,95.12,108.99,115.41,100.92
2016-05-16,94.47,110.16,117.58,100.95
2016-05-17,94.22,111.28,115.43,100.95
2016-05-18,94.96,110.04,115.08,100.95
2016-05-19,93.92,110.45,114.8,100.95
2016-05-20,94.15,110.37,113.07,100.99
2016-05-21,95.31,110.5,112.51,100.99
2016-05-22,93.95,110.27,113.11,100.99
2016-05-23,94.14,110.38,112.82,100.99
2016-05-24,94.39,110.51,110.94,101.0
2016-05-25,95.1,110.16,114.64,101.0
2016-05-26,94.06,109.6,115.05,101.0
2016-05-27,92.96,109.34,115.26,101.0
2016-05-28,93.44,109.53,113.9,101.0
2016-05-29,93.72,109.95,114.3,101.05
2016-05-30,93.97,110.55,114.15,101.08
2016-05-31,94.3,110.26,111.81,101.1
2016-06-01,93.74,110.48,110.53,101.11
2016-06-02,93.97,111.15,111.58,101.12
2016-06-03,94.25,111.97,114.11,101.12
2016-06-04,93.67,111.96,114.64,101.12
2016-06-05,95.31,111.85,116.14,101.12
2016-06-06,95.76,112.01,116.0,101.15
2016-06-07,94.75,111.27,115.95,101.17
2016-06-08,95.35,111.17,117.44,101.17
2016-06-09,94.54,111.71,119.73,101.17
2016-06-10,95.25,112.17,121.56,101.17
2016-06-11,96.3,112.02,120.17,101.17
2016-06-12,95.61,112.2,120.15,101.17
2016-06-13,96.49,111.68,120.59,101.17
2016-06-14,96.88,112.19,120.3,101.17
2016-06-15,97.65,112.17,120.89,101.17
2016-06-16,99.39,112.02,122.08,101.17
2016-06-17,99.2,111.81,123.53,101.17
2016-06-18,98.55,111.8,125.96,101.17
2016-06-19,97.78,111.53,125.56,101.17
2016-06-20,97.08,112.01,123.72,101.18
2016-06-21,97.05,111.77,124.28,101.18
2016-06-22,97.38,112.88,127.01,101.21
2016-06-23,97.66,113.92,126.4,101.23
2016-06-24,98.43,113.34,127.45,101.23
2016-06-25,98.48,113.42,128.52,101.33
2016-06-26,99.83,113.01,128.87,101.36
2016-06-27,99.62,112.82,128.95,101.36
2016-06-28,102.17,114.23,127.68,101.37
2016-06-29,102.79,114.05,124.51,101.37
2016-06-30,102.01,114.33,123.03,101.37
2016-07-01,101.05,114.74,122.56,101.37
2016-07-02,101.53,114.08,124.15,101.39
2016-07-03,101.36,113.53,124.07,101.39
2016-07-04,102.05,112.74,123.41,101.39
2016-07-05,102.53,112.18,122.25,101.39
2016-07-06,102.5,110.3,123.22,101.39
2016-07-07,101.74,110.7,125.19,101.39
2016-07-08,100.37,112.11,126.76,101.39
2016-07-09,99.99,112.24,127.7,101.39
2016-07-10,100.81,111.32,125.66,101.39
2016-07-11,101.04,110.92,125.23,101.39
2016-07-12,99.93,110.65,128.08,101.42
2016-07-13,100.12,110.01,129.77,101.52
2016-07-14,100.5,110.61,127.62,101.52
2016-07-15,99.72,111.18,127.61,101.52
2016-07-16,99.9,110.45,128.2,101.52
2016-07-17,99.98,110.96,127.17,101.52
2016-07-18,98.97,112.02,123.97,101.57
2016-07-19,99.33,113.34,124.18,101.62
2016-07-20,99.87,115.35,123.15,101.63
2016-07-21,100.9,114.76,122.13,101.63
2016-07-22,101.91,116.76,121.71,101.64
2016-07-23,100.67,116.55,121.59,101.64
2016-07-24,99.84,116.17,121.65,101.64
2016-07-25,100.34,116.43,120.51,101.64
2016-07-26,100.85,116.06,120.27,101.67
2016-07-27,101.36,116.37,117.98,101.67
2016-07-28,105.03,115.49,118.46,101.67
2016-07-29,105.62,115.35,114.77,101.67
2016-07-30,106.76,116.29,114.46,101.67
2016-07-31,107.73,116.28,115.71,101.67
2016-08-01,108.41,116.41,114.4,101.67
2016-08-02,108.13,116.78,115.39,101.68
2016-08-03,108.92,117.64,116.97,101.68
2016-08-04,108.19,116.51,112.75,101.68
2016-08-05,107.99,116.96,112.62,101.73
2016-08-06,107.54,116.8,109.09,101.73
2016-08-07,107.66,116.95,109.01,101.73
2016-08-08,110.0,117.74,109.06,101.76
2016-08-09,108.17,116.93,106.11,101.81
2016-08-10,108.89,116.25,108.49,101.81
2016-08-11,107.32,114.94,108.9,101.81
2016-08-12,106.89,114.6,107.92,101.81
2016-08-13,108.0,115.55,109.77,101.83
2016-08-14,108.1,115.5,107.64,101.87
2016-08-15,107.07,114.61,106.21,101.87
2016-08-16,106.41,114.31,103.56,101.91
2016-08-17,107.11,113.32,105.73,101.91
2016-08-18,106.43,112.59,106.19,101.91
2016-08-19,106.67,112.89,107.04,101.91
2016-08-20,106.75,112.13,107.46,101.91
2016-08-21,106.15,112.91,108.21,101.91
2016-08-22,108.29,112.9,108.36,101.91
2016-08-23,108.96,112.99,108.75,101.91
2016-08-24,106.99,112.83,108.94,101.91
2016-08-25,107.2,113.39,108.26,101.91
2016-08-26,106.59,113.96,108.26,101.91
2016-08-27,107.46,114.23,108.65,101.94
2016-08-28,106.72,114.65,108.85,101.94
2016-08-29,106.64,114.54,107.11,101.95
2016-08-30,107.17,114.95,105.56,101.96
2016-08-31,108.06,114.75,106.91,101.97
2016-09-01,106.91,114.78,106.6,101.97
2016-09-02,106.62,114.63,107.36,101.97
2016-09-03,106.19,114.35,106.1,101.97
2016-09-04,105.59,113.91,104.41,102.03
2016-09-05,107.35,114.26,103.48,102.03
2016-09-06,107.78,115.2,103.28,102.03
2016-09-07,106.58,116.05,102.56,102.03
2016-09-08,107.51,115.21,104.12,102.03
2016-09-09,109.66,116.14,104.39,102.09
2016-09-10,110.73,115.96,106.64,102.09
2016-09-11,109.24,116.41,107.19,102.1
2016-09-12,108.79,115.81,104.37,102.1
2016-09-13,110.09,115.95,105.68,102.11
2016-09-14,109.42,116.2,103.95,102.11
2016-09-15,109.9,115.2,104.28,102.11
2016-09-16,110.72,115.66,103.43,102.11
2016-09-17,109.82,116.63,106.01,102.11
2016-09-18,109.79,116.54,107.8,102.11
2016-09-19,106.61,117.54,106.96,102.11
2016-09-20,105.65,117.44,106.87,102.11
2016-09-21,105.44,118.07,107.22,102.11
2016-09-22,104.28,116.54,108.32,102.16
2016-09-23,105.88,118.29,108.42,102.16
2016-09-24,104.54,119.39,107.23,102.16
2016-09-25,104.15,119.22,106.43,102.16
2016-09-26,104.31,117.85,106.48,102.19
2016-09-27,105.73,118.09,108.02,102.19
2016-09-28,104.38,117.1,108.6,102.23
2016-09-29,105.53,117.45,107.72,102.23
2016-09-30,105.58,117.78,108.57,102.23
2016-10-01,104.67,117.15,108.15,102.23
2016-10-02,105.14,117.98,109.3,102.23
2016-10-03,105.37,118.59,112.52,102.25
2016-10-04,104.83,119.32,112.12,102.3
2016-10-05,104.93,119.36,113.2,102.32
2016-10-06,104.59,118.38,112.31,102.32
2016-10-07,104.73,119.12,112.23,102.33
2016-10-08,105.41,118.96,112.33,102.33
2016-10-09,106.98,118.0,112.15,102.33
2016-10-10,105.81,119.0,115.36,102.33
2016-10-11,107.93,120.55,115.02,102.33
2016-10-12,106.05,120.56,115.85,102.33
2016-10-13,105.94,122.17,113.42,102.36
2016-10-14,106.55,122.28,114.03,102.39
2016-10-15,106.86,122.03,115.57,102.39
2016-10-16,106.28,121.61,114.95,102.42
2016-10-17,106.11,122.85,111.81,102.42
2016-10-18,105.67,122.31,111.82,102.42
2016-10-19,105.14,122.89,111.9,102.44
2016-10-20,105.99,122.51,112.88,102.44
2016-10-21,106.37,122.21,115.52,102.5
2016-10-22,105.73,123.0,115.09,102.5
2016-10-23,106.64,122.76,114.05,102.5
2016-10-24,106.98,122.5,112.62,102.5
2016-10-25,107.81,123.37,112.93,102.51
2016-10-26,108.47,124.6,113.6,102.51
2016-10-27,107.68,125.12,112.97,102.51
2016-10-28,107.17,124.67,114.03,102.51
2016-10-29,107.94,124.32,114.69,102.51
2016-10-30,108.58,124.42,114.8,102.51
2016-10-31,108.59,124.7,113.7,102.51
2016-11-01,108.74,123.99,113.15,102.51
2016-11-02,110.06,124.57,110.16,102.51
2016-11-03,109.5,124.67,110.51,102.55
2016-11-04,110.09,123.43,110.6,102.55
2016-11-05,109.92,122.78,110.9,102.56
2016-11-06,109.73,122.44,111.59,102.58
2016-11-07,110.88,122.42,112.13,102.58
2016-11-08,111.76,123.86,112.05,102.59
2016-11-09,112.63,124.08,112.17,102.59
2016-11-10,114.02,123.49,110.48,102.59
2016-11-11,114.08,123.69,109.81,102.65
2016-11-12,114.83,123.46,109.93,102.68
2016-11-13,114.54,123.74,109.08,102.74
2016-11-14,114.92,124.21,110.2,102.74
2016-11-15,114.82,125.16,109.45,102.74
2016-11-16,114.96,125.17,109.78,102.74
2016-11-17,115.62,126.45,109.98,102.74
2016-11-18,114.8,127.18,110.97,102.74
2016-11-19,117.06,126.68,112.16,102.74
2016-11-20,116.02,128.42,113.1,102.74
2016-11-21,114.77,128.71,110.51,102.74
2016-11-22,116.04,128.1,112.06,102.74
2016-11-23,116.92,129.42,114.07,102.74
2016-11-24,117.63,131.09,113.51,102.74
2016-11-25,118.34,131.1,113.87,102.76
2016-11-26,118.37,130.74,112.8,102.76
2016-11-27,117.44,130.64,110.41,102.76
2016-11-28,117.56,131.25,109.56,102.76
2016-11-29,116.87,132.3,108.95,102.76
2016-11-30,117.95,132.79,108.57,102.76
2016-12-01,117.83,132.91,107.47,102.76
2016-12-02,116.98,134.16,106.64,102.76
2016-12-03,116.68,133.95,106.68,102.81
2016-12-04,117.16,134.82,105.82,102.81
2016-12-05,116.59,134.63,106.53,102.84
2016-12-06,115.75,135.02,107.41,102.85
2016-12-07,116.05,134.96,110.38,102.9
2016-12-08,116.35,134.96,111.85,103.0
2016-12-09,115.85,134.69,112.21,103.04
2016-12-10,115.38,135.83,111.49,103.05
2016-12-11,115.67,135.27,111.92,103.05
2016-12-12,114.18,134.71,112.4,103.05
2016-12-13,112.75,136.48,111.81,103.05
2016-12-14,112.05,137.33,112.86,103.05
2016-12-15,111.87,135.41,111.16,103.06
2016-12-16,112.22,134.99,110.91,103.06
2016-12-17,113.78,133.57,111.67,103.09
2016-12-18,114.72,132.84,111.37,103.09
2016-12-19,114.59,130.4,111.17,103.09
2016-12-20,114.6,130.33,111.05,103.09
2016-12-21,113.59,129.47,110.07,103.09
2016-12-22,113.61,129.56,111.6,103.12
2016-12-23,113.35,128.33,110.39,103.15
2016-12-24,113.72,128.44,110.84,103.15
2016-12-25,112.9,128.15,111.42,103.16
2016-12-26,113.47,129.36,110.29,103.16
2016-12-27,115.11,130.5,110.44,103.16
2016-12-28,115.04,131.16,109.38,103.17
2016-12-29,115.5,130.94,111.16,103.18
2016-12-30,116.27,132.55,109.81,103.21
2016-12-31,115.88,131.36,109.06,103.21
2017-01-01,116.15,130.29,107.63,103.21
2017-01-02,116.2,130.26,106.05,103.21
2017-01-03,116.35,132.08,108.03,103.21
2017-01-04,115.56,131.96,108.75,103.23
2017-01-05,115.63,131.85,108.98,103.23
2017-01-06,116.19,130.75,108.23,103.25
2017-01-07,117.78,131.54,109.4,103.25
2017-01-08,118.86,132.34,108.45,103.25
2017-01-09,121.27,133.01,109.48,103.25
2017-01-10,120.46,132.54,108.47,103.26
2017-01-11,121.46,132.02,107.74,103.26
2017-01-12,121.71,131.03,108.73,103.31
2017-01-13,124.21,131.14,109.85,103.31
2017-01-14,123.34,130.33,110.65,103.31
2017-01-15,122.43,129.45,109.41,103.31
2017-01-16,121.8,129.15,108.92,103.31
2017-01-17,119.49,128.81,109.17,103.31
2017-01-18,118.96,128.43,108.19,103.31
2017-01-19,118.17,128.83,109.93,103.31
2017-01-20,118.37,128.93,107.05,103.35
2017-01-21,118.78,128.75,106.18,103.35
2017-01-22,120.88,128.93,105.63,103.35
2017-01-23,121.97,128.2,102.36,103.35
2017-01-24,121.37,128.32,100.81,103.35
2017-01-25,120.41,128.47,101.58,103.35
2017-01-26,121.0,127.35,101.67,103.35
2017-01-27,119.58,128.16,103.54,103.35
2017-01-28,121.64,127.52,105.41,103.35
2017-01-29,123.0,127.62,105.99,103.35
2017-01-30,122.52,128.56,106.42,103.35
2017-01-31,120.65,129.32,106.55,103.36
2017-02-01,122.19,129.38,103.47,103.37
2017-02-02,122.1,129.14,101.92,103.37
2017-02-03,123.53,129.92,102.09,103.37
2017-02-04,121.78,130.48,102.85,103.37
2017-02-05,121.15,130.04,103.24,103.37
2017-02-06,121.2,129.46,102.27,103.37
2017-02-07,121.29,127.89,103.41,103.37
2017-02-08,120.83,128.05,105.2,103.4
2017-02-09,121.56,128.02,106.38,103.4
2017-02-10,120.42,128.94,107.62,103.4
2017-02-11,120.3,129.25,107.01,103.46
2017-02-12,120.47,130.34,108.37,103.5
2017-02-13,121.08,129.83,108.6,103.5
2017-02-14,121.91,130.76,109.29,103.5
2017-02-15,120.7,130.38,109.8,103.5
2017-02-16,119.05,131.03,109.71,103.5
2017-02-17,120.49,129.93,108.71,103.55
2017-02-18,120.9,130.15,108.67,103.55
2017-02-19,120.11,128.64,109.94,103.55
2017-02-20,121.87,128.47,109.45,103.56
2017-02-21,122.04,128.85,110.62,103.59
2017-02-22,123.4,128.49,111.6,103.61
2017-02-23,123.52,127.71,111.29,103.61
2017-02-24,125.91,128.41,113.1,103.61
2017-02-25,128.0,128.36,112.71,103.61
2017-02-26,127.75,128.02,114.7,103.63
2017-02-27,128.93,128.09,115.32,103.63
2017-02-28,129.73,130.18,115.37,103.64
2017-03-01,131.41,131.13,114.28,103.7
2017-03-02,130.3,132.09,114.23,103.7
2017-03-03,131.16,132.47,114.03,103.72
2017-03-04,132.48,132.65,112.49,103.72
2017-03-05,130.41,130.79,112.27,103.74
2017-03-06,129.04,130.29,111.32,103.74
2017-03-07,126.7,129.95,112.12,103.81
2017-03-08,126.42,128.53,113.84,103.81
2017-03-09,127.3,127.68,112.34,103.81
2017-03-10,129.11,126.2,114.58,103.81
2017-03-11,129.23,126.21,114.48,103.81
2017-03-12,131.22,126.87,113.29,103.83
2017-03-13,129.61,127.76,114.32,103.83
2017-03-14,127.65,128.12,113.81,103.91
2017-03-15,127.62,127.41,113.77,103.91
2017-03-16,128.11,125.98,113.31,103.91
2017-03-17,128.12,124.69,112.34,103.91
2017-03-18,125.75,123.78,113.32,103.91
2017-03-19,125.69,123.15,113.01,103.91
2017-03-20,124.24,123.07,111.26,103.91
2017-03-21,125.04,122.36,112.01,103.91
2017-03-22,125.5,122.65,110.56,103.91
2017-03-23,124.47,122.51,109.19,103.91
2017-03-24,123.92,122.55,110.73,103.91
2017-03-25,122.77,123.44,109.31,103.94
2017-03-26,122.74,122.6,106.55,103.97
2017-03-27,123.85,122.94,107.36,103.97
2017-03-28,122.78,122.97,107.05,103.97
2017-03-29,123.39,122.76,106.84,103.97
2017-03-30,122.83,123.45,106.52,104.04
2017-03-31,121.98,124.14,106.86,104.06
2017-04-01,121.9,123.48,106.02,104.06
2017-04-02,120.79,123.38,107.85,104.08
2017-04-03,120.22,123.62,106.13,104.12
2017-04-04,118.94,123.46,106.72,104.12
2017-04-05,121.14,123.93,107.55,104.12
2017-04-06,121.22,124.18,106.69,104.12
2017-04-07,120.48,125.59,105.53,104.13
2017-04-08,120.76,124.48,106.8,104.13
2017-04-09,120.67,124.42,105.67,104.14
2017-04-10,120.47,123.78,105.01,104.14
2017-04-11,121.19,124.27,106.12,104.18
2017-04-12,122.07,123.1,106.22,104.18
2017-04-13,121.52,123.39,104.15,104.19
2017-04-14,120.92,122.96,106.27,104.21
2017-04-15,120.65,122.46,105.7,104.24
2017-04-16,118.17,121.43,105.28,104.24
2017-04-17,116.58,121.13,105.64,104.26
2017-04-18,118.09,121.96,106.44,104.3
2017-04-19,119.92,121.98,108.87,104.31
2017-04-20,119.68,122.47,106.92,104.31
2017-04-21,120.36,123.74,107.97,104.31
2017-04-22,120.74,123.98,108.94,104.31
2017-04-23,124.23,123.6,108.83,104.31
2017-04-24,125.55,123.98,109.85,104.31
2017-04-25,125.45,123.61,111.08,104.31
2017-04-26,124.39,123.28,109.42,104.34
2017-04-27,122.62,122.19,111.66,104.34
2017-04-28,122.89,122.91,109.77,104.34
2017-04-29,122.08,122.66,108.44,104.34
2017-04-30,120.53,122.83,108.18,104.34
2017-05-01,119.86,122.1,110.61,104.34
2017-05-02,118.72,122.46,110.28,104.34
2017-05-03,120.61,121.94,110.3,104.34
2017-05-04,121.62,121.87,112.15,104.34
2017-05-05,121.65,122.55,111.84,104.34
2017-05-06,123.35,123.17,110.42,104.37
2017-05-07,123.48,123.19,109.96,104.37
2017-05-08,122.55,121.93,111.73,104.37
2017-05-09,124.31,124.18,111.88,104.41
2017-05-10,124.97,125.53,114.4,104.41
2017-05-11,123.82,126.11,115.42,104.42
2017-05-12,123.65,125.58,114.64,104.42
2017-05-13,122.7,125.53,114.77,104.46
2017-05-14,121.2,125.16,113.74,104.46
2017-05-15,122.27,126.15,112.94,104.46
2017-05-16,124.46,126.39,118.85,104.46
2017-05-17,122.92,125.83,120.28,104.46
2017-05-18,123.6,125.51,121.52,104.49
2017-05-19,122.9,126.4,120.73,104.51
2017-05-20,122.39,127.66,122.95,104.51
2017-05-21,121.77,128.88,124.55,104.56
2017-05-22,120.85,129.51,127.28,104.57
2017-05-23,120.94,129.35,130.0,104.57
2017-05-24,120.06,126.89,127.93,104.57
2017-05-25,120.4,127.15,126.41,104.57
2017-05-26,120.38,127.19,125.05,104.57
2017-05-27,120.16,127.33,123.8,104.58
2017-05-28,119.2,127.41,124.32,104.62
2017-05-29,118.61,126.44,123.59,104.62
2017-05-30,119.47,126.9,126.58,104.62
2017-05-31,120.06,127.42,129.39,104.62
2017-06-01,119.03,127.98,129.45,104.62
2017-06-02,119.18,128.75,132.4,104.62
2017-06-03,120.04,129.26,134.71,104.62
2017-06-04,118.25,128.98,134.1,104.63
2017-06-05,118.88,128.96,131.17,104.63
2017-06-06,118.2,129.07,130.92,104.63
2017-06-07,118.86,129.19,130.05,104.63
2017-06-08,118.07,130.01,130.42,104.63
2017-06-09,116.17,130.55,130.62,104.63
2017-06-10,114.49,132.24,130.78,104.68
2017-06-11,114.58,134.04,131.63,104.68
2017-06-12,114.89,134.15,129.91,104.68
2017-06-13,113.97,131.13,130.58,104.68
2017-06-14,114.68,132.14,130.01,104.68
2017-06-15,112.98,131.75,130.37,104.68
2017-06-16,112.95,131.16,131.86,104.68
2017-06-17,111.74,130.88,130.12,104.68
2017-06-18,111.11,130.57,129.78,104.68
2017-06-19,111.2,131.09,129.68,104.68
2017-06-20,110.36,129.91,129.0,104.68
2017-06-21,110.01,129.1,130.38,104.68
2017-06-22,111.06,129.41,129.4,104.74
2017-06-23,110.51,129.93,128.66,104.74
2017-06-24,111.4,130.48,127.7,104.74
2017-06-25,110.28,129.9,129.35,104.74
2017-06-26,110.86,129.17,128.71,104.74
2017-06-27,112.37,128.82,129.44,104.74
2017-06-28,109.89,129.04,132.43,104.74
2017-06-29,109.12,130.24,132.39,104.74
2017-06-30,109.74,128.68,134.12,104.74
2017-07-01,109.57,128.55,136.74,104.74
2017-07-02,109.98,127.56,138.41,104.74
2017-07-03,109.4,126.34,138.46,104.74
2017-07-04,109.53,127.11,139.54,104.74
2017-07-05,109.41,127.57,137.6,104.74
2017-07-06,110.62,127.95,136.47,104.74
2017-07-07,110.91,128.7,135.62,104.74
2017-07-08,111.29,128.37,139.16,104.74
2017-07-09,110.91,128.07,137.97,104.74
2017-07-10,110.45,129.81,136.76,104.78
2017-07-11,110.05,129.65,135.24,104.78
2017-07-12,110.48,130.27,136.16,104.78
2017-07-13,110.09,130.31,136.46,104.78
2017-07-14,110.42,128.91,138.21,104.78
2017-07-15,112.58,127.37,139.33,104.78
2017-07-16,113.51,126.96,137.26,104.78
2017-07-17,113.21,127.81,136.09,104.78
2017-07-18,114.5,128.46,138.27,104.78
2017-07-19,114.11,129.2,138.03,104.78
2017-07-20,112.04,128.48,139.96,104.78
2017-07-21,111.04,129.77,139.8,104.84
2017-07-22,109.19,129.06,138.36,104.84
2017-07-23,108.87,129.26,137.96,104.84
2017-07-24,108.93,129.29,136.54,104.84
2017-07-25,110.65,129.2,135.75,104.85
2017-07-26,111.02,130.28,136.13,104.86
2017-07-27,110.83,129.77,136.99,104.86
2017-07-28,111.71,128.75,134.63,104.86
2017-07-29,109.51,128.81,134.68,104.86
2017-07-30,109.78,128.54,133.86,104.86
2017-07-31,110.59,131.22,132.96,104.86
2017-08-01,109.14,131.79,133.23,104.86
2017-08-02,110.32,131.5,132.48,104.86
2017-08-03,110.7,130.71,134.63,104.88
2017-08-04,110.32,129.28,136.51,104.88
2017-08-05,110.99,128.52,138.42,104.9
2017-08-06,113.36,128.65,137.72,104.94
2017-08-07,113.59,129.8,136.31,104.94
2017-08-08,113.88,130.71,136.51,104.94
2017-08-09,113.44,130.93,136.35,104.94
2017-08-10,112.6,130.72,135.49,104.94
2017-08-11,113.5,130.97,133.79,104.94
2017-08-12,112.65,130.6,133.79,104.96
2017-08-13,112.76,132.0,133.26,104.96
2017-08-14,112.3,131.89,134.37,105.01
2017-08-15,112.83,131.86,135.45,105.03
2017-08-16,113.21,130.15,137.21,105.03
2017-08-17,114.33,130.03,135.35,105.05
2017-08-18,113.83,130.73,136.04,105.05
2017-08-19,113.59,129.93,135.0,105.08
2017-08-20,112.61,129.38,133.23,105.08
2017-08-21,112.19,130.04,132.66,105.08
2017-08-22,112.61,128.93,134.34,105.08
2017-08-23,113.43,129.79,133.85,105.08
2017-08-24,112.52,129.41,136.3,105.08
2017-08-25,113.45,129.15,137.22,105.08
2017-08-26,114.91,128.32,136.69,105.09
2017-08-27,115.38,128.65,138.56,105.15
